"Speaker";"Title";"Repository";"Date";"Kind";"Passcode"
"Pizarro, Amador Martín";"Arithmetic progressions and complete amalgamation";"https://zoom.us/rec/play/583Qro0GTAEkeli1PD8Sc0Zn-H2lJaKz-9SOBiw7CoGHiUu4okDhC2Cgm4f3PfAd-sR1yk10RV3cXt86.CjyesTNCCWlDXvnm?continueMode=true&_x_zm_rtaid=hZJ__xFoRjSI9ZEzt0cu-w.1603468651583.e793437009fe6f269e01342e3ff2657d&_x_zm_rhtaid=813";"October 23, 2020";"seminar";
"Platzer, André";"Logical Foundations of Cyber-Physical Systems";"https://zoom.us/rec/play/DT_yyhiaNrthH3KpW-f81xQQ3AGm7cXMLnyWpuRN-XaLJy87t5nHV_eO_6QsUeYSRSbD1yaxKybXWwJB.gPKVV2yxvCSnRynw?continueMode=true&_x_zm_rtaid=YgQfCY9-Ryy8O6EsfdgDOg.1601584220429.ef9b41ef94b8f0f3419512fd03703254&_x_zm_rhtaid=565";"September 27, 2020";"seminar";
"Poveda, Alejandro";"Sigma-Prikry forcing and their iteration";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=e4aa3ae8-6865-4a57-bec7-abba00aa15cc";"May 13, 2020";"seminar";
"Poveda, Alejandro";"Sigma-Prikry forcing and their iteration";"https://huji.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=a601282d-df48-4d96-a6cc-abb300b4c68f";"May 6, 2020";"seminar";
"Rakotonarivo, Tsinjo";"The definable (p,q)-theorem for dense pairs of distal geometric structures where acl=dcl";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom16.mp4";"June 21, 2021";"seminar";
"Rinot, Assaf";"Transformations of the transfinite planes";"http://assafrinot.com/videos/rinot_mfo2020.mp4";"June 10, 2020";"seminar";
"San Mauro, Luca";"Revisiting the complexity of word problems";"https://youtu.be/uLZOakuABTA";"December 4, 2020";"seminar";
"Sargsyan, Grigor";"Determinacy, forcing axioms and inner models";"https://www.miguelmath.com/vid/zoom_muensterNov04.mp4";"November 4, 2020";"seminar";
"Schindler, Ralf";"Martin's Maximum++ implies the P_max axiom (*)";"https://youtu.be/NBZ1VLPpKOA";"January 22, 2021";"seminar";
"Schindler, Ralf";"2020 Fudan Logic Summer School - Forcing axioms and the axiom (*)";"https://youtu.be/ts1WHiVxp9U";"August 21, 2020";"Summer School";
"Schindler, Ralf";"2020 Fudan Logic Summer School - Forcing axioms and the axiom (*)";"https://youtu.be/awj5JFPwrhc";"August 20, 2020";"Summer School";
"Schindler, Ralf";"2020 Fudan Logic Summer School - Forcing axioms and the axiom (*)";"https://youtu.be/_Q8REmkAGJI";"August 19, 2020";"Summer School";
"Schindler, Ralf";"2020 Fudan Logic Summer School - Forcing axioms and the axiom (*)";"https://youtu.be/gUHr4WFfH2I";"August 18, 2020";"Summer School";
"Schindler, Ralf";"2020 Fudan Logic Summer School - Forcing axioms and the axiom (*)";"https://youtu.be/OcTVKWq1nUk";"August 17, 2020";"Summer School";
"Schindler, Ralf";"MM and (*)^++";"https://www.miguelmath.com/vid/zoom_muensterJul14.mp4";"July 14, 2020";"seminar";
