"Speaker";"Title";"Repository";"Date";"Kind";"Passcode"
"Shani, Assaf";"Anti-classification results for countable Archimedean groups";"https://youtu.be/4Z2SmSjHfGU";"December 11, 2020";"seminar"
"Fischer, Vera";"The spectrum of independence";"https://youtu.be/SiWcqXwD5Ys";"January 29, 2021";"seminar"
"Viale, Matteo";"Tameness for set theory";"https://youtu.be/Le6PUbhgq3A";"February 5, 2021";"seminar"
"de Rancourt, Noé";"A dichotomy for countable unions of smooth Borel eq. relations";"https://youtu.be/uLd7ZbbXAJU";"March 5, 2021";"seminar"
"Conley, Clinton";"Dividing the sphere by rotations";"https://youtu.be/myrnwBi0FW4";"March 12, 2021";"seminar"
"Paolini, Gianluca";"Torsion-Free Abelian Groups are Borel Complete";"https://youtu.be/LdRZgdpwQ4E";"March 19, 2021";"seminar"
"Dimonte, Vincenzo";"The role of Prikry forcing in generalized Descriptive Set Theory";"https://youtu.be/NrCxmpPvYuk";"March 26, 2021";"seminar"
"Berarducci, Alessandro";"Asymptotic analysis of Skolem's exponential functions";"https://youtu.be/CqqhaPDFUuQ";"April 9, 2021";"seminar"
"Poveda, Alejandro";"Forcing iterations around singulars cardinals";"https://youtu.be/lX8hpOMzuhQ";"April 16, 2021";"seminar"
"Loregian, Fosco";"Functorial Semantics for Partial Theories";"https://youtu.be/NC8pH-dTuuc";"April 23, 2021";"seminar"
"Barbina, Silvia";"The theory of the universal-homogeneous Steiner triple system";"https://youtu.be/2ziIpji1KGU";"April 30, 2021";"seminar"
"Valenti, Manlio";"Uniform reducibility & descending sequences through illfounded orders";"https://youtu.be/XtWT-XYPA8k";"May 7, 2021";"seminar"
"Sklinos, Rizos";"Fields interpretable in the free group";"https://youtu.be/RYN6SCT_zOE";"May 14, 2021";"seminar"
"Westrick, Linda";"Borel combinatorics fail in HYP";"https://youtu.be/r56Frxtrbd8";"May 21, 2021";"seminar"
"Bartosova, Dana";"Short exact sequences and universal minimal flows";"https://youtu.be/8v4lJ_dW09s";"May 28, 2021";"seminar"
"Pinsker, Michael";"Uniqueness of Polish topologies on endomorphism monoids";"https://youtu.be/Ru0Icv2RKf0";"June 4, 2021";"seminar"
"Gitman, Victoria";"The old and the new of virtual large cardinals";"https://youtu.be/5-m25j8qm7M";"June 11, 2021";"seminar"
"Schlicht, Philipp";"Dichotomies for open dihypergraphs on generalized Baire spaces";"https://video.renyi.hu/video/dichotomies-for-open-dihypergraphs-on-generalized-baire-spaces-328";"January 14, 2022";"conference"
"Motto Ros, Luca";"(Generalized) Descriptive Set Theory meets Model Theory";"https://video.renyi.hu/video/generalized-descriptive-set-theory-meets-model-theory-329";"January 14, 2022";"conference"
"Kaplan, Itay";"On minimal expansions of elementary extensions of the ordered group of integers";"https://video.renyi.hu/video/on-minimal-expansions-of-elementary-extensions-of-the-ordered-group-of-integers-323";"January 14, 2022";"conference"
"Koponen, Vera";"On the relative asymptotic expressivity of probabilistic inference frameworks: an approach via finite model theory";"https://video.renyi.hu/video/on-the-relative-asymptotic-expressivity-of-probabilistic-inference-frameworks-an-approach-via-finite-model-theory-324";"January 14, 2022";"conference"
"Chernikov, Artem";"Idempotent Keisler measures";"https://video.renyi.hu/video/idempotent-keisler-measures-325";"January 14, 2022";"conference"
"Schreiner, Wolfgang";"Teaching Logic, Formalization, and Verification by Analyzing Theories and Algorithms with the RISCAL Model Checker";"https://video.renyi.hu/video/teaching-logic-formalization-and-verification-by-analyzing-theories-and-algorithms-with-the-riscal-model-checker-326";"January 15, 2022";"conference"
"Steingartner, William";"Perspectives of semantic modeling in categories";"https://video.renyi.hu/video/perspectives-of-semantic-modeling-in-categories-327";"January 15, 2022";"conference"
"Soukup, Lajos";"On elusive properties of infinite graphs";"https://video.renyi.hu/video/on-elusive-properties-of-infinite-graphs-330";"January 15, 2022";"conference"
"Lücke, Philipp";"Strong Downward Löwenheim-Skolem theorems, large cardinals and set-theoretic complexity";"https://video.renyi.hu/video/strong-downward-lowenheim-skolem-theorems-large-cardinals-and-set-theoretic-complexity-331";"January 15, 2022";"conference"
"Khomskii, Yurii";"Symbiosis and Upwards Reflection Principles";"https://video.renyi.hu/video/symbiosis-and-upwards-reflection-principles-332";"January 16, 2022";"conference"
"Krupiński, Krzysztof";"Some Ramsey theory and topological dynamics for first order theories";"https://video.renyi.hu/video/some-ramsey-theory-and-topological-dynamics-for-first-order-theories-333";"January 16, 2022";"conference"
"Ivanov, Aleksander";"Generalized model theory and continuous logic";"https://video.renyi.hu/video/generalized-model-theory-and-continuous-logic-334";"January 16, 2022";"conference"
"Beke, Tibor";"Categories, coalgebras and Hopf algebras defined from logical structures";"https://video.renyi.hu/video/categories-coalgebras-and-hopf-algebras-defined-from-logical-structures-335";"January 16, 2022";"conference"
"Sayed Ahmed, Tarek";"A multifaceted Approach to algebraic logic: What happened since ‘Algebraic logic, where does it stand today?’";"https://video.renyi.hu/video/a-multifaceted-approach-to-algebraic-logic-what-happened-since-algebraic-logic-where-does-it-stand-todayquestion-336";"January 16, 2022";"conference"
"Leung, Samson";"Stability results assuming tameness, monster model and continuity of nonsplitting, part 1";"https://cmu.zoom.us/rec/share/3PUBEqovKApQRBVL4FilH7KhIGuNzjTEEJmToaj_OpGkXL-9Pc-9gcR10RCasiA4.I4fbTWwp02z9IlBH";"January 27, 2022";"seminar";"j1beAf.0"
"Leung, Samson";"Stability results assuming tameness, monster model and continuity of nonsplitting, part 2";"https://cmu.zoom.us/rec/share/LqZT7RtawAJoO9mIy-uSrvjVeztCQQdr83yrJ3ayurpMbjwCmpYpKsu2ene1oHsG.NfYmBztKlcpzmDUx";"February 3, 2022";"seminar";"46.7JS7d"
"Leung, Samson";"Stability results assuming tameness, monster model and continuity of nonsplitting, part 3";"https://cmu.zoom.us/rec/share/We9bZi7ff18_6Qys4ZcvOJnpauUzsC2I5w39PZtlz19fPCqWyfMpb9XRZk4f824m.LcmL1Yw9-DiE-DP5";"February 10, 2022";"seminar";"jz@z4Fbv"
"Leung, Samson";"Stability results assuming tameness, monster model and continuity of nonsplitting, part 4";"https://cmu.zoom.us/rec/share/43gEc985zGsh4jVk8IG69eqyRftFtRXYC-bNPdbF6GYEppWmb1qu-JOu8NsZloY6.VkOb8DTVPrKj-tqw";"February 17, 2022";"seminar";"u*4vW6dD"
"Yang, Wentao";"Shelah’s eventual categoricity conjecture in universal classes, part 1";"https://cmu.zoom.us/rec/share/yUOweyLPe5ixlftoWNGDeIeywmkuUBWFhMlO2VFt9EfV0pmvR-kxcmHd74L4nkRX.tnPlSDxEcWxfUrt5";"February 24, 2022";"seminar";"@+eY8rbx" 
"Yang, Wentao";"Shelah’s eventual categoricity conjecture in universal classes, part 2";"https://cmu.zoom.us/rec/share/9IHN4xK_Z56vlc1twFUFb6k1LlHdtpeyPRsiK98TTxTMFNrRHEpfi_MdDwRSUEis.5qOX434TahqcCMvr";"March 3, 2022";"seminar";"?Cu8+vjv" 
"Mazari-Armida, Marcos";"Characterizing categoricity in several classes of modules, part 1";"https://cmu.zoom.us/rec/share/TS367071ioMssYsEV7yEb_ui9AtceOlL3CcF4_gKv37q6-zD9cgxUPQcKzQZvJQ4.zKYIG5xg37jK4lqk";"March 24, 2022";"seminar";"@9rtu2uL"
"Mazari-Armida, Marcos";"Characterizing categoricity in several classes of modules, part 2";"https://cmu.zoom.us/rec/share/PqjsRkRkp11-aUSHzFULt5bvNaz-9K3wYJNnavc_cARyIvAdv1LgIThz37RPWgwr.6_SvEkjPSeH92974";"March 31, 2022";"seminar";"wq=#gDX0"
"Kucera, T. G. ";"Saturated free algebras and almost indiscernible theories: an overview";"https://cmu.zoom.us/rec/share/dSzlBqmD56FcRxumEnZ7cv6I8_wKlS9jty5opzohUtWrhJHzBJ2b079hgSwsymdF.gSFE9is9lBbCjpqp";"April 21, 2022";"seminar";"M8?PDd?P"
"Espindola, Christian";"A category-theoretic approach to categoricity, part 1";"https://cmu.zoom.us/rec/share/8KV4uSQ31q5vKC8VFbDUYFSEUxflbI-IqW6wrts5dglJrrIDkHllBpv3RV7qV07K.fAzm889R0zYg_X3i";"May 5, 2022";"seminar";"=8cMaQc8"
"Kirby, Jonathan";"Independence Relations for Exponential Fields";"https://cmu.zoom.us/rec/share/f3QJ_2dpOv2oxnUCKdnlelZmWK17SwM4YRj7tITcTW2UbLLokc9ucyM3bL1N6n6T.HHOAZlYYjC5Tb5qD";"April 28, 2022";"seminar";"=3s.ZeP3"
"Espindola, Christian";"A category-theoretic approach to categoricity, part 2";"https://cmu.zoom.us/rec/share/QEQ2iXTpYxVO-7ONMWiIHImtLGONXGqggMV_0wne1D1wyUxkE8fTrv1_j1TgsGU4.hErXn8WFcobXXJVb";"May 12, 2022";"seminar";"U09=Y*tV"
"Espindola, Christian";"A category-theoretic approach to categoricity, part 3";"https://cmu.zoom.us/rec/share/7xxQA_KDgeyTv7RHcneGQTSEVvoZtzuowZfs7jLol2sbQXDRZFUnNEY_55wOiZS6.XvSugo5UqgJYiZAJ";"May 19, 2022";"seminar";"d3VG0!Z"
"Boney, Will";"Abstract Elementary Classes beyond L_{\infty, \omega}, Part 1";"https://cmu.zoom.us/rec/share/OP9Dy6sCwL0EMHcjJWoa6com9Le03wMN0SbHvO2wwq_iuef0xrq5JXHWmiufcy1P.5zuzjiOFK08Q4FU8";"September 22, 2022";"seminar";"6^g.Zy@Z"
"Boney, Will";"Abstract Elementary Classes beyond L_{\infty, \omega}, Part 2 ";"https://cmu.zoom.us/rec/share/APBV7Wy0rX-VrJ6F9o4lkPxyMy5ZC6ZpoRHmZ3u8qoPkSPpatB8XTE-iFZBe2ntG.VR78BRIYxIQ1VTa3";"September 29, 2022";"seminar";"UI7$@1*2"

